Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY19-20,20032,Glenroy,-37.70453633,144.9172204,1037400,3350,3450,3050,2000,1500,400,1550,850,550,100
FY19-20,20033,Oak Park,-37.71794973,144.9215188,479050,1600,1650,1400,850,650,200,900,300,200,50
FY19-20,20034,Pascoe Vale,-37.73075596,144.9281956,545050,1800,1850,1600,950,650,200,1050,350,200,50
FY19-20,20035,Strathmore,-37.74359132,144.9273157,318600,1100,1150,900,450,300,100,650,200,150,50
FY19-20,20036,Glenbervie,-37.74720985,144.9209387,301950,1050,1050,900,450,300,100,650,150,100,50
FY19-20,20037,Essendon,-37.7560117,144.9161975,1298700,4300,4500,3700,2350,1550,500,2300,750,850,150
FY19-20,20038,Moonee Ponds,-37.76570666,144.9191607,776300,2550,2650,2250,1500,1000,150,1150,600,600,150
FY19-20,20039,Ascot Vale,-37.77530609,144.9218207,488800,1650,1700,1400,850,600,150,1000,300,200,50
FY19-20,20040,Newmarket,-37.78732767,144.9289785,675600,2200,2300,1900,1300,900,150,1100,500,450,100
FY19-20,20041,Kensington,-37.79378022,144.9305244,424600,1350,1400,1200,900,600,100,650,300,300,50
FY19-20,20042,Box Hill,-37.81922165,145.1214289,2775200,9050,9400,7750,5500,3700,500,2950,2450,2950,550
FY19-20,40220,Roxburgh Park,-37.63823121,144.9354037,488650,1650,1700,1450,800,550,300,750,350,250,50
FY19-20,40221,Craigieburn,-37.6018169,144.9433203,1126250,3700,3850,3150,2050,1450,700,1900,750,400,100
FY19-20,44817,Coolaroo,-37.66100253,144.9260556,274750,950,1000,850,350,250,100,600,150,100,50
FY19-20,45793,Lynbrook,-38.05734118,145.2492751,352250,1250,1400,750,450,300,250,750,250,100,50
FY19-20,45794,Cardinia Road,-38.07129047,145.437791,355850,1250,1350,800,500,350,350,600,250,100,50
FY19-20,45795,South Morang,-37.6491588,145.0670324,554250,1850,1900,1700,950,600,300,850,350,300,100
FY19-20,46468,Williams Landing,-37.86986533,144.7474447,1419700,5100,5250,4450,1600,950,800,3050,900,400,100
FY19-20,52095,Southland,-37.958758,145.049124,441650,1300,1300,1300,1150,900,100,300,400,450,100
FY19-20,52159,Middle Gorge,-37.644062,145.09214,184700,650,700,500,200,150,100,350,100,150,50
FY19-20,52160,Hawkstowe,-37.622992,145.097396,181900,650,650,550,250,150,150,400,100,50,50
FY19-20,52161,Mernda,-37.602549,145.100883,527250,1800,1850,1600,800,500,500,900,250,150,50
FY19-20,19841,Flagstaff,-37.81198131,144.9556538,3883350,14600,15350,12100,2200,1600,100,650,2250,10950,1400
FY19-20,19842,Melbourne Central,-37.80993877,144.9625935,10865600,36300,38250,29850,17100,13850,200,1300,7850,21750,7150
FY19-20,19843,Parliament,-37.81105406,144.9729109,7646300,28300,29950,22850,5550,3800,150,750,4150,21750,3200
FY19-20,19854,Flinders Street,-37.81830513,144.9669643,21503500,70500,72650,63400,39400,28950,1300,3950,13250,42400,11750
FY19-20,19908,Richmond,-37.82407446,144.9901643,2965500,8600,8800,7900,8450,6150,200,1250,1350,4150,1900
FY19-20,19973,North Melbourne,-37.80630984,144.9415102,1183050,3800,3950,3300,2350,1900,100,600,850,2000,350
FY19-20,19979,Jolimont,-37.81652702,144.9840983,787850,2000,2000,2000,2700,2300,50,200,350,1000,450
FY19-20,22180,Southern Cross,-37.81793643,144.9514112,14895400,52450,54750,44700,17550,13150,500,2650,8500,37550,5550
FY20-21,19827,Stony Point,-38.37423454,145.2218375,3900,50,50,50,50,50,50,50,50,50,50
FY20-21,19828,Crib Point,-38.36612338,145.2040433,8450,50,50,50,50,50,50,50,50,50,50
FY20-21,19829,Morradoo,-38.35403334,145.1896025,2200,50,50,50,50,50,50,50,50,50,50
FY20-21,19830,Bittern,-38.33739032,145.1780265,5350,50,50,50,50,50,50,50,50,50,50
FY20-21,19831,Hastings,-38.30565853,145.1859799,10500,50,50,50,50,50,50,50,50,50,50
FY20-21,19832,Tyabb,-38.259815,145.1864007,2700,50,50,50,50,50,50,50,50,50,50
FY20-21,19833,Somerville,-38.22534196,145.1762449,4950,50,50,50,50,50,50,50,50,50,50
FY20-21,19834,Baxter,-38.19404306,145.1605261,1850,50,50,50,50,50,50,50,50,50,50
FY20-21,19835,Glen Iris,-37.85930842,145.0582249,118200,400,400,300,250,150,50,150,100,150,50
FY20-21,19836,Leawarra,-38.152034,145.139534,4250,50,50,50,50,50,50,50,50,50,50
FY20-21,19837,Darling,-37.86895684,145.0629508,120400,350,350,250,400,250,50,200,100,50,50
FY20-21,19838,East Malvern,-37.87693002,145.069393,127600,400,400,350,300,200,50,200,100,100,50
FY20-21,19839,Holmesglen,-37.87440222,145.090662,187800,550,600,500,450,300,50,200,200,150,50
FY20-21,19840,Jordanville,-37.87360339,145.1120902,157850,500,500,450,350,250,50,250,100,100,50
FY20-21,19844,Belgrave,-37.9091021,145.3552913,143400,450,450,400,350,250,50,150,100,100,50
FY20-21,19845,Tecoma,-37.90811849,145.3429946,30300,100,100,100,50,50,50,50,50,50,50
FY20-21,19846,Upwey,-37.90369097,145.3313334,61700,200,200,150,150,100,50,50,50,50,50
FY20-21,19847,Alamein,-37.86832039,145.0796557,46350,150,150,150,100,50,50,100,50,50,50
FY20-21,19848,Ashburton,-37.86196753,145.0813438,100200,350,350,300,150,100,50,150,100,50,50
FY20-21,19849,Burwood,-37.85156328,145.0805111,106400,350,350,300,150,100,50,200,100,50,50
FY20-21,19850,Hartwell,-37.84398457,145.0755596,66400,200,250,200,100,100,50,100,50,50,50
FY20-21,19851,Willison,-37.83571565,145.0702976,32400,100,100,100,50,50,50,50,50,50,50
FY20-21,19852,Riversdale,-37.83150543,145.069646,73250,250,300,150,50,50,50,100,50,150,50
FY20-21,19853,Camberwell,-37.82656714,145.0586972,641150,2000,2000,1900,1350,1150,50,500,500,850,150
FY20-21,19855,Frankston,-38.14299007,145.1261623,576400,1700,1650,1900,1500,1050,200,400,500,400,100
FY20-21,19856,Kananook,-38.12174203,145.1352953,92700,300,300,300,200,150,50,100,100,50,50
FY20-21,19857,Seaford,-38.10402104,145.1282304,154500,450,450,500,350,250,100,150,100,50,50
FY20-21,19858,Carrum,-38.07489292,145.1224183,157950,500,500,450,400,250,50,200,100,50,50
FY20-21,19859,Bonbeach,-38.06294478,145.1196804,71450,200,200,200,150,100,50,100,50,50,50
FY20-21,19860,Chelsea,-38.05195538,145.1160413,186300,550,550,550,450,300,50,200,150,100,50
FY20-21,19861,Edithvale,-38.03805602,145.1085355,104700,300,300,300,250,150,50,150,100,50,50
FY20-21,19862,Aspendale,-38.02722019,145.1021496,84050,250,250,250,200,100,50,100,50,50,50
FY20-21,19863,Mordialloc,-38.00658295,145.0876594,339550,1050,1100,900,800,500,100,350,250,300,50
FY20-21,19864,Parkdale,-37.99307882,145.0763268,161900,500,500,400,400,250,50,150,150,150,50
FY20-21,19865,Mentone,-37.9818654,145.0651659,362550,1200,1300,800,650,400,50,250,300,650,50
FY20-21,19867,Upper Ferntree Gully,-37.8926717,145.3075302,95700,300,300,300,200,150,50,100,50,50,50
FY20-21,19868,Ferntree Gully,-37.88169799,145.2952513,162600,550,550,450,300,200,100,250,100,100,50
FY20-21,19869,Boronia,-37.8604518,145.2843851,243500,800,800,750,450,350,100,350,200,150,50
FY20-21,19870,Bayswater,-37.84173004,145.2681364,213500,700,700,650,400,300,50,250,150,150,50
FY20-21,19871,Heathmont,-37.82832227,145.2445554,96050,300,350,250,150,100,50,150,50,100,50
FY20-21,19872,Highett,-37.948425,145.0418718,194000,600,600,550,450,300,50,250,150,150,50
FY20-21,19873,Glen Waverley,-37.87950407,145.1620575,530400,1600,1600,1500,1350,950,100,600,400,350,100
FY20-21,19874,Syndal,-37.87622963,145.1497805,261400,850,850,750,550,350,100,400,200,200,50
FY20-21,19875,Mount Waverley,-37.87525526,145.1280557,280350,900,900,750,600,400,50,300,200,300,50
FY20-21,19876,Lilydale,-37.75551777,145.3477102,244300,750,750,750,500,350,100,250,200,200,50
FY20-21,19877,Mooroolbark,-37.78474883,145.3124024,197000,650,650,600,400,250,100,300,150,100,50
FY20-21,19878,Croydon,-37.79543697,145.2805978,311100,1000,1000,1000,600,400,150,400,250,200,50
FY20-21,19879,Ringwood East,-37.81196804,145.2501909,140600,500,500,400,200,150,50,200,100,100,50
FY20-21,19880,Pakenham,-38.08061397,145.4863791,280300,900,900,900,550,400,200,300,200,150,50
FY20-21,19881,Officer,-38.06614572,145.4109872,62250,200,250,200,50,50,50,100,50,50,50
FY20-21,19882,Beaconsfield,-38.05083135,145.3660737,109600,400,400,300,150,100,100,150,100,100,50
FY20-21,19883,Berwick,-38.04040829,145.3457261,361200,1250,1300,1000,500,350,200,400,300,300,50
FY20-21,19884,Narre Warren,-38.02780932,145.3039694,309300,1050,1050,1000,500,350,200,350,250,150,50
FY20-21,19885,Hallam,-38.01774038,145.2697768,219250,750,750,750,300,200,150,250,150,150,50
FY20-21,19886,Cranbourne,-38.09953731,145.280599,407700,1350,1400,1200,700,500,300,500,300,150,50
FY20-21,19887,Merinda Park,-38.07900048,145.2635114,126750,450,450,350,200,150,100,200,100,50,50
FY20-21,19888,Dandenong,-37.98996792,145.2097254,1159900,3800,3850,3500,2050,1600,250,850,1000,1450,250
FY20-21,19889,Yarraman,-37.97825454,145.1916003,158500,500,500,500,300,250,50,150,150,100,50
FY20-21,19890,Noble Park,-37.96723193,145.1769357,513650,1650,1700,1500,950,800,200,500,450,400,100
FY20-21,19891,Sandown Park,-37.95650457,145.1628259,178800,600,600,550,300,250,50,250,150,100,50
FY20-21,19892,East Camberwell,-37.82589419,145.0681902,100800,350,400,200,150,100,50,100,100,200,50
FY20-21,19893,Canterbury,-37.82448518,145.0812242,122400,400,400,350,250,150,50,150,100,150,50
FY20-21,19894,Chatham,-37.82429952,145.0886479,80050,250,250,250,150,100,50,100,50,50,50
FY20-21,19895,Surrey Hills,-37.82414805,145.0987747,245900,800,800,700,450,300,50,400,150,150,50
FY20-21,19896,Mont Albert,-37.81942655,145.1055304,84300,250,250,250,200,150,50,100,50,50,50
FY20-21,19897,Laburnum,-37.82078023,145.1407027,153150,500,500,400,300,200,50,200,150,150,50
FY20-21,19898,Blackburn,-37.82007075,145.1500135,533050,1700,1800,1500,1000,700,100,700,400,450,50
FY20-21,19899,Nunawading,-37.82060317,145.1748917,390550,1250,1250,1150,800,550,100,450,300,350,50
FY20-21,19900,Mitcham,-37.81800987,145.1919735,401050,1300,1350,1150,700,500,150,600,300,300,50
FY20-21,19901,Heatherdale,-37.81889537,145.2127872,185950,650,650,550,300,200,100,350,100,100,50
FY20-21,19902,Ringwood,-37.81588648,145.2289685,852050,2600,2600,2550,2050,1500,150,650,700,900,200
FY20-21,19903,Auburn,-37.82239831,145.0458437,278650,900,900,800,600,400,50,300,200,300,50
FY20-21,19904,Glenferrie,-37.82146682,145.0364388,749450,2500,2650,1950,1200,850,50,400,750,1250,200
FY20-21,19905,Hawthorn,-37.82182601,145.0228987,243600,800,850,700,400,300,50,250,200,350,50
FY20-21,19906,Burnley,-37.82756022,145.0075551,303500,850,900,750,1000,650,50,250,200,350,50
FY20-21,19907,East Richmond,-37.82639995,144.9970657,198600,700,700,600,300,200,50,100,100,400,50
FY20-21,19909,Heyington,-37.83467244,145.0226353,99050,350,450,100,100,50,50,50,100,250,50
FY20-21,19910,Kooyong,-37.83992894,145.0335516,102400,350,350,250,200,150,50,100,100,150,50
FY20-21,19911,Tooronga,-37.84936553,145.0417337,176050,550,600,500,350,250,50,200,150,200,50
FY20-21,19912,Gardiner,-37.85327908,145.0516547,157650,500,500,450,400,300,50,200,100,100,50
FY20-21,19913,Springvale,-37.94950878,145.1534518,754300,2300,2300,2250,1650,1350,150,600,700,700,150
FY20-21,19914,Westall,-37.93849121,145.1388326,339550,1000,1000,900,900,700,100,300,250,300,50
FY20-21,19915,Clayton,-37.92468255,145.1205344,796650,2500,2500,2500,1600,1300,150,600,700,850,250
FY20-21,19916,Huntingdale,-37.91101734,145.1023643,556100,1950,2050,1550,650,450,100,450,500,850,150
FY20-21,19917,Oakleigh,-37.90037214,145.0883079,763050,2400,2450,2300,1600,1150,150,550,650,900,200
FY20-21,19918,Hughesdale,-37.89488129,145.0776351,250500,800,800,750,500,350,50,300,200,200,50
FY20-21,19919,Murrumbeena,-37.89019832,145.0673749,318600,1000,1050,1000,600,450,100,400,250,200,50
FY20-21,19920,Carnegie,-37.88624148,145.0585751,460850,1450,1450,1450,950,750,100,500,400,350,100
FY20-21,19921,Werribee,-37.89937805,144.661118,351350,1150,1150,1250,600,400,200,450,300,200,50
FY20-21,19922,Hoppers Crossing,-37.88327618,144.7009549,349850,1200,1200,1150,550,350,200,400,300,250,50
FY20-21,19923,Laverton,-37.86369404,144.7726167,596350,1950,2050,1650,1050,750,300,800,500,350,50
FY20-21,19924,Aircraft,-37.86660595,144.7608094,70150,250,200,250,100,100,50,100,50,50,50
FY20-21,19925,Westona,-37.86516348,144.8134936,107350,350,400,250,150,100,50,100,100,150,50
FY20-21,19926,Altona,-37.8671476,144.8296447,126100,400,350,400,300,250,50,100,100,100,50
FY20-21,19927,Seaholme,-37.86784231,144.8409577,39900,100,100,100,100,50,50,50,50,50,50
FY20-21,19928,Westgarth,-37.7806207,144.9992332,108300,350,350,300,250,150,50,150,100,100,50
FY20-21,19929,Dennis,-37.77918729,145.0082416,118700,400,400,350,250,150,50,200,100,50,50
FY20-21,19930,Fairfield,-37.77917126,145.0169053,233400,700,750,700,500,400,50,300,200,150,50
FY20-21,19931,Alphington,-37.77839363,145.0312549,109600,350,350,300,200,150,50,150,100,100,50
FY20-21,19932,Darebin,-37.77496341,145.038476,53850,150,200,100,100,50,50,50,50,50,50
FY20-21,19933,Ivanhoe,-37.76889674,145.0454252,273050,900,950,750,500,350,50,350,200,300,50
FY20-21,19934,Eaglemont,-37.76358553,145.0539427,50550,150,150,150,100,100,50,100,50,50,50
FY20-21,19935,Heidelberg,-37.75707293,145.0606855,343900,1150,1200,950,600,450,50,250,250,550,50
FY20-21,19936,Rosanna,-37.7428786,145.0661403,239200,750,800,700,450,350,100,350,150,100,50
FY20-21,19937,Moorabbin,-37.93435329,145.0367383,300700,900,900,950,750,550,50,200,250,300,50
FY20-21,19938,Patterson,-37.92514919,145.03547,127150,400,450,300,250,150,50,150,100,150,50
FY20-21,19939,Bentleigh,-37.91742457,145.0369951,299650,900,900,900,700,550,50,300,300,250,50
FY20-21,19940,Mckinnon,-37.91030903,145.038299,173200,550,550,500,350,300,50,200,150,150,50
FY20-21,19941,Ormond,-37.90321167,145.0396134,265150,800,850,750,600,450,50,300,200,200,50
FY20-21,19942,Glenhuntly,-37.88971946,145.0422229,335400,1000,1000,1000,800,600,50,350,300,250,50
FY20-21,19943,Caulfield,-37.87745946,145.0425248,1370650,3950,4050,3700,3800,2750,150,900,1100,1450,450
FY20-21,19944,Malvern,-37.8662533,145.0292939,340300,1050,1100,1000,700,550,50,250,250,450,100
FY20-21,19945,Armadale,-37.85645238,145.0193255,227300,750,750,650,450,300,50,250,200,250,50
FY20-21,19946,Toorak,-37.85077381,145.0139086,196650,650,700,500,350,250,50,200,150,250,50
FY20-21,19947,Hawksburn,-37.84459087,145.0021421,201400,600,600,600,450,300,50,200,150,200,50
FY20-21,19948,Sandringham,-37.95033018,145.0045614,350400,1050,1050,1000,900,650,50,400,250,250,50
FY20-21,19949,Hampton,-37.93797681,145.0014706,229200,700,700,650,550,400,50,250,200,150,50
FY20-21,19950,Brighton Beach,-37.92648432,144.9891536,140150,400,400,400,400,300,50,150,100,100,50
FY20-21,19951,Middle Brighton,-37.91513441,144.9962991,243050,750,750,700,550,400,50,200,200,250,50
FY20-21,19952,North Brighton,-37.90488721,145.002605,246150,750,750,700,600,400,50,250,200,200,50
FY20-21,19953,Gardenvale,-37.89669508,145.0041684,185050,600,600,500,400,250,50,200,150,200,50
FY20-21,19954,Elsternwick,-37.88475311,145.0008979,385100,1200,1200,1150,900,650,50,400,300,300,100
FY20-21,19955,Ripponlea,-37.87590643,144.9952366,244200,800,800,700,500,350,50,300,200,200,50
FY20-21,19956,Balaclava,-37.86948773,144.9935121,416700,1300,1300,1350,900,650,100,450,350,350,100
FY20-21,19957,Windsor,-37.85605308,144.9920352,334200,1050,1100,950,700,450,50,300,250,400,100
FY20-21,19958,Prahran,-37.84951848,144.9898599,473550,1550,1550,1500,950,600,50,300,350,700,150
FY20-21,19959,South Yarra,-37.83844935,144.9923422,1669900,5300,5500,4600,3500,2400,150,1050,1350,2400,500
FY20-21,19960,Upfield,-37.66607779,144.9467399,147300,500,400,750,250,200,50,100,100,150,50
FY20-21,19961,Gowrie,-37.700678,144.9588743,112050,350,350,400,250,150,50,100,100,50,50
FY20-21,19962,Fawkner,-37.71462129,144.960545,66600,200,200,250,150,100,50,100,50,50,50
FY20-21,19963,Merlynston,-37.72093389,144.9613135,126950,400,400,450,250,200,50,150,100,50,50
FY20-21,19964,Batman,-37.73352285,144.9628406,116250,350,350,400,250,150,50,150,100,100,50
FY20-21,19965,Coburg,-37.74234502,144.9633363,145500,450,400,600,350,200,50,150,100,100,50
FY20-21,19966,Moreland,-37.75448484,144.961823,91250,300,300,300,200,150,50,100,50,100,50
FY20-21,19967,Anstey,-37.76124203,144.960684,159900,500,500,500,400,250,50,200,150,100,50
FY20-21,19968,Brunswick,-37.76772055,144.9595865,155350,500,500,500,350,250,50,100,150,200,50
FY20-21,19969,Jewell,-37.77498702,144.9587169,135400,400,400,400,300,200,50,100,100,150,50
FY20-21,19970,Royal Park,-37.78119293,144.9523013,117850,350,350,500,250,200,50,50,100,150,50
FY20-21,19971,Flemington Bridge,-37.78813995,144.9393233,94250,300,300,300,200,150,50,50,100,100,50
FY20-21,19972,Macaulay,-37.79426673,144.9361663,101750,350,350,300,200,150,50,50,100,150,50
FY20-21,19974,Clifton Hill,-37.78865745,144.9954167,347000,1000,1050,950,900,700,50,350,250,300,100
FY20-21,19975,Victoria Park,-37.79915782,144.9944514,277400,850,850,800,700,450,50,200,200,350,100
FY20-21,19976,Collingwood,-37.80452593,144.9937497,221100,750,750,650,400,250,50,100,150,400,50
FY20-21,19977,North Richmond,-37.81039836,144.9925003,339950,1050,1050,1100,750,550,50,150,250,500,100
FY20-21,19978,West Richmond,-37.81494896,144.9914228,265250,900,900,850,450,300,50,150,200,450,100
FY20-21,19983,Macleod,-37.7260123,145.0691433,204450,650,700,550,400,300,50,300,150,150,50
FY20-21,19984,Watsonia,-37.71095798,145.0837934,242150,800,800,650,450,300,150,400,150,150,50
FY20-21,19985,Greensborough,-37.70395408,145.1082474,254900,800,800,800,500,350,100,300,200,150,50
FY20-21,19986,Montmorency,-37.71529624,145.1215157,103450,350,350,300,200,150,50,150,50,50,50
FY20-21,19987,Eltham,-37.71354967,145.147822,206900,650,700,550,400,250,100,250,150,200,50
FY20-21,19988,Diamond Creek,-37.67329744,145.1585062,72850,250,250,200,150,100,50,100,50,50,50
FY20-21,19989,Wattle Glen,-37.66396792,145.1816145,16600,50,50,50,50,50,50,50,50,50,50
FY20-21,19990,Hurstbridge,-37.63939817,145.1920169,50350,150,150,100,100,50,50,100,50,50,50
FY20-21,19991,Williamstown,-37.86775292,144.9053233,64100,200,200,200,150,100,50,50,50,50,50
FY20-21,19992,Williamstown Beach,-37.86398189,144.8944837,78150,250,250,250,150,100,50,100,50,50,50
FY20-21,19993,North Williamstown,-37.85733348,144.8890695,125500,400,450,400,200,150,50,150,100,100,50
FY20-21,19994,Newport,-37.84271757,144.8835999,497600,1600,1600,1450,1000,700,100,650,350,400,100
FY20-21,19995,Spotswood,-37.83063888,144.8859335,122500,400,350,400,300,200,50,150,100,100,50
FY20-21,19996,Yarraville,-37.81585044,144.8899337,368300,1150,1150,1150,800,550,50,500,300,250,100
FY20-21,19997,Seddon,-37.80900514,144.8956716,168900,550,550,500,350,250,50,250,150,100,50
FY20-21,15351,Sunbury,-37.57909097,144.7273188,301950,950,950,1000,650,450,200,300,200,200,50
FY20-21,15353,Diggers Rest,-37.62701651,144.7199224,59350,200,200,200,100,50,50,100,50,50,50
FY20-21,20000,Watergardens,-37.70112872,144.7741805,528500,1750,1700,1800,950,700,250,700,400,300,50
FY20-21,20001,Keilor Plains,-37.72927934,144.7937381,262450,850,850,900,450,350,150,350,200,100,50
FY20-21,20002,St Albans,-37.74486131,144.8000505,500200,1600,1600,1600,1000,800,200,500,500,350,50
FY20-21,20003,Ginifer,-37.75751083,144.8095734,320700,1050,1050,1050,600,450,100,350,300,250,50
FY20-21,20004,Albion,-37.77765281,144.8247036,204500,650,650,700,350,250,100,300,150,100,50
FY20-21,20005,Epping,-37.65238715,145.0301217,417650,1350,1400,1200,750,550,200,400,350,400,50
FY20-21,20006,Lalor,-37.66585075,145.0171932,243550,800,800,750,450,350,150,300,200,150,50
FY20-21,20007,Thomastown,-37.68033809,145.0142789,343750,1100,1100,1050,700,550,150,400,300,200,50
FY20-21,20008,Keon Park,-37.69487012,145.0118838,178750,600,600,550,350,200,50,150,150,200,50
FY20-21,20009,Ruthven,-37.70789754,145.0095166,162400,500,500,500,350,250,100,250,100,100,50
FY20-21,20010,Reservoir,-37.71688492,145.0069958,349200,1100,1150,1050,700,500,100,350,300,300,50
FY20-21,20011,Regent,-37.72840277,145.0027726,170900,550,550,550,350,250,50,250,100,100,50
FY20-21,20012,Preston,-37.73867424,145.000522,317300,950,950,950,800,500,50,250,300,300,50
FY20-21,20013,Bell,-37.74556212,145.000155,170000,550,550,550,350,200,50,150,150,200,50
FY20-21,20014,Thornbury,-37.75505179,144.9985715,190250,600,600,600,400,250,50,250,150,150,50
FY20-21,20015,Croxton,-37.764101,144.9970562,115250,350,350,350,250,200,50,150,100,50,50
FY20-21,20016,Northcote,-37.76986537,144.9952772,151500,500,500,450,300,200,50,150,100,200,50
FY20-21,20017,Merri,-37.77784668,144.9929725,70400,200,250,200,150,100,50,100,50,50,50
FY20-21,20019,Rushall,-37.78321711,144.9924071,69400,200,250,200,150,100,50,50,50,50,50
FY20-21,20021,Sunshine,-37.78853633,144.8328782,896350,2900,2950,2700,1700,1200,250,800,850,900,150
FY20-21,20022,Tottenham,-37.7992509,144.8629449,190650,600,600,650,350,250,50,200,150,150,50
FY20-21,20023,West Footscray,-37.8018087,144.8853248,213500,700,700,700,350,250,50,300,150,150,50
FY20-21,20024,Middle Footscray,-37.8025047,144.8914721,81800,250,250,250,200,150,50,100,50,50,50
FY20-21,20025,Footscray,-37.80108298,144.9031992,2056000,6550,6550,6450,4300,2900,350,1650,1900,2250,450
FY20-21,20026,South Kensington,-37.79953087,144.925469,127950,400,400,400,250,200,50,150,100,100,50
FY20-21,20027,Flemington Racecourse,-37.78720192,144.9075887,25350,50,50,300,150,50,50,50,50,50,50
FY20-21,20028,Showgrounds,-37.7835,144.915,4150,50,50,50,50,50,50,50,50,50,50
FY20-21,20030,Broadmeadows,-37.68304926,144.9196132,395750,1250,1350,900,800,600,100,300,400,450,100
FY20-21,20031,Jacana,-37.69513079,144.9158505,129500,400,400,300,300,250,50,150,100,50,50
FY20-21,20032,Glenroy,-37.70453633,144.9172204,399100,1200,1300,850,900,700,150,400,400,300,50
FY20-21,20033,Oak Park,-37.71794973,144.9215188,218300,700,750,500,450,350,100,300,200,100,50
FY20-21,20034,Pascoe Vale,-37.73075596,144.9281956,239250,750,800,500,500,400,100,350,200,150,50
FY20-21,20035,Strathmore,-37.74359132,144.9273157,130750,400,450,250,250,150,50,200,100,100,50
FY20-21,20036,Glenbervie,-37.74720985,144.9209387,109700,350,400,250,200,150,50,200,100,50,50
FY20-21,20037,Essendon,-37.7560117,144.9161975,579150,1900,1950,1550,1050,750,200,750,400,550,100
FY20-21,20038,Moonee Ponds,-37.76570666,144.9191607,362450,1100,1200,900,850,600,50,400,350,300,100
FY20-21,20039,Ascot Vale,-37.77530609,144.9218207,202200,650,700,450,400,300,50,300,150,150,50
FY20-21,20040,Newmarket,-37.78732767,144.9289785,302600,950,950,950,600,400,50,350,250,250,50
FY20-21,20041,Kensington,-37.79378022,144.9305244,211900,650,700,600,450,300,50,250,200,150,50
FY20-21,20042,Box Hill,-37.81922165,145.1214289,1192700,3750,3800,3600,2450,1900,200,950,1100,1300,250
FY20-21,40220,Roxburgh Park,-37.63823121,144.9354037,240050,750,850,550,450,300,100,300,200,150,50
FY20-21,40221,Craigieburn,-37.6018169,144.9433203,560500,1750,1900,1250,1150,850,350,800,450,250,50
FY20-21,44817,Coolaroo,-37.66100253,144.9260556,105150,350,350,200,200,150,50,150,100,50,50
FY20-21,45793,Lynbrook,-38.05734118,145.2492751,174550,600,650,450,250,150,100,350,100,50,50
FY20-21,45794,Cardinia Road,-38.07129047,145.437791,193250,650,650,600,300,200,150,250,150,50,50
FY20-21,45795,South Morang,-37.6491588,145.0670324,291000,900,950,850,600,450,100,300,200,250,50
FY20-21,46468,Williams Landing,-37.86986533,144.7474447,411450,1400,1400,1450,600,400,200,700,300,150,50
FY20-21,52095,Southland,-37.958758,145.049124,277000,750,750,850,800,600,50,100,250,300,50
FY20-21,52159,Middle Gorge,-37.644062,145.09214,103900,350,400,200,150,100,50,100,50,150,50
FY20-21,52160,Hawkstowe,-37.622992,145.097396,70900,250,250,200,150,100,50,100,50,50,50
FY20-21,52161,Mernda,-37.602549,145.100883,327900,1100,1150,900,600,400,200,550,200,150,50
FY20-21,19841,Flagstaff,-37.81198131,144.9556538,1378000,5050,5200,4450,1200,800,100,350,900,3400,450
FY20-21,19842,Melbourne Central,-37.80993877,144.9625935,4206700,13550,13350,14150,7700,5800,100,550,3150,7450,2050
FY20-21,19843,Parliament,-37.81105406,144.9729109,2213650,7900,8150,7050,2350,1550,50,300,1600,5250,950
FY20-21,19854,Flinders Street,-37.81830513,144.9669643,8528000,25800,25500,27100,20050,15050,700,1800,5650,13100,4250
FY20-21,19908,Richmond,-37.82407446,144.9901643,1292650,3450,3600,3050,3500,3050,100,450,650,1550,850
FY20-21,19973,North Melbourne,-37.80630984,144.9415102,669700,1950,2000,1650,1950,1300,50,350,500,950,150
FY20-21,19979,Jolimont,-37.81652702,144.9840983,358650,850,900,700,1050,1100,50,50,150,400,250
FY20-21,22180,Southern Cross,-37.81793643,144.9514112,4556450,14550,14550,14550,8700,6550,250,1100,3050,8550,1550
FY20-21,19866,Cheltenham,-37.96664989,145.0545579,233800,750,750,700,500,350,50,300,150,200,50
FY21-22,19827,Stony Point,-38.37423454,145.2218375,3600,50,50,50,50,50,50,50,50,50,50
FY21-22,19828,Crib Point,-38.36612338,145.2040433,6700,50,50,50,50,50,50,50,50,50,50
FY21-22,19829,Morradoo,-38.35403334,145.1896025,2300,50,50,50,50,50,50,50,50,50,50
FY21-22,19830,Bittern,-38.33739032,145.1780265,4600,50,50,50,50,50,50,50,50,50,50
FY21-22,19831,Hastings,-38.30565853,145.1859799,8300,50,50,50,50,50,50,50,50,50,50
FY21-22,19832,Tyabb,-38.259815,145.1864007,2350,50,50,50,50,50,50,50,50,50,50
FY21-22,19833,Somerville,-38.22534196,145.1762449,4500,50,50,50,50,50,50,50,50,50,50
FY21-22,19834,Baxter,-38.19404306,145.1605261,1500,50,50,50,50,50,50,50,50,50,50
FY21-22,19835,Glen Iris,-37.85930842,145.0582249,148050,450,500,350,300,200,50,200,100,150,50
FY21-22,19836,Leawarra,-38.152034,145.139534,4150,50,50,50,50,50,50,50,50,50,50
FY21-22,19837,Darling,-37.86895684,145.0629508,135200,400,450,350,300,200,50,250,100,100,50
